epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1039.65,2.05272,6.60537,0.01137,0.68925,0.21237,0.17493,0.06432,2.14095,6.81697,0.01199,0.000539423,0.000539423,0.000539423
88,1051.49,2.03996,6.50438,0.01102,0.69731,0.20828,0.18092,0.06698,2.13043,6.81713,0.01214,0.000532734,0.000532734,0.000532734
89,1063.17,2.03948,6.37881,0.01085,0.66763,0.20551,0.19143,0.0722,2.12358,6.86812,0.01201,0.000526023,0.000526023,0.000526023
90,1074.91,2.05917,6.33821,0.01118,0.66818,0.20957,0.1851,0.06996,2.14248,7.16243,0.01215,0.000519292,0.000519292,0.000519292
91,1086.5,2.01224,6.19674,0.0109,0.68514,0.2237,0.19361,0.07182,2.08735,6.77839,0.01169,0.000512543,0.000512543,0.000512543
92,1097.79,2.02316,6.19827,0.01051,0.56394,0.22554,0.18898,0.07186,2.10381,6.89593,0.01185,0.000505777,0.000505777,0.000505777
93,1109.22,2.02787,6.13811,0.01082,0.56403,0.20453,0.18178,0.06901,2.15804,6.79939,0.01225,0.000498995,0.000498995,0.000498995
94,1121.1,2.04118,6.28086,0.01056,0.6767,0.22129,0.18726,0.0704,2.15398,6.83532,0.01227,0.0004922,0.0004922,0.0004922
95,1132.77,2.0337,6.18181,0.01119,0.68545,0.20123,0.17669,0.06394,2.16678,7.43494,0.0125,0.000485394,0.000485394,0.000485394
96,1144.57,2.03178,6.14172,0.01061,0.55503,0.18231,0.1765,0.06702,nan,nan,nan,0.000478577,0.000478577,0.000478577
97,1156.24,2.06694,6.25963,0.01121,0.6843,0.18042,0.17535,0.0673,2.08948,7.23463,0.01176,0.000471752,0.000471752,0.000471752
98,1168.01,2.02971,6.34764,0.01074,0.66401,0.19021,0.15868,0.05682,2.19797,7.70126,0.01282,0.00046492,0.00046492,0.00046492
99,1179.63,2.03469,6.16816,0.0105,0.66223,0.20561,0.18272,0.06993,2.13326,6.80779,0.01184,0.000458083,0.000458083,0.000458083
100,1190.92,2.0181,6.30515,0.01047,0.68498,0.22686,0.18791,0.07183,2.15009,6.69364,0.01187,0.000451242,0.000451242,0.000451242
101,1202.39,2.02114,6.19679,0.01091,0.68891,0.22211,0.19289,0.07296,2.13716,6.6364,0.01192,0.0004444,0.0004444,0.0004444
102,1214.04,2.0372,6.02316,0.01123,0.67122,0.22226,0.18576,0.06805,2.1428,6.74227,0.01216,0.000437558,0.000437558,0.000437558
103,1225.7,2.00863,5.9643,0.01139,0.68473,0.19815,0.17685,0.06625,2.13193,7.25484,0.01199,0.000430717,0.000430717,0.000430717
104,1237.35,2.01206,6.0118,0.01081,0.68188,0.19962,0.18066,0.0695,2.12781,7.05861,0.01177,0.00042388,0.00042388,0.00042388
