epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,667.222,2.01817,4.17519,0.01059,0.4806,0.47026,0.45502,0.17337,2.18694,4.91533,0.01321,6.19929e-05,6.19929e-05,6.19929e-05
77,676.917,2.03736,4.384,0.01052,0.5003,0.45844,0.46114,0.17797,2.1932,4.76311,0.01324,5.76642e-05,5.76642e-05,5.76642e-05
78,686.194,2.0052,4.16131,0.01011,0.50164,0.49317,0.48109,0.18791,2.15914,4.51931,0.01288,5.3478e-05,5.3478e-05,5.3478e-05
79,694.398,2.02887,4.12817,0.01026,0.5071,0.51754,0.49448,0.19369,2.12783,4.40286,0.01252,4.94384e-05,4.94384e-05,4.94384e-05
80,703.432,2.00809,4.22558,0.01084,0.48843,0.5309,0.49799,0.19432,2.11597,4.38384,0.01236,4.55493e-05,4.55493e-05,4.55493e-05
81,712.85,1.98749,4.31488,0.01067,0.48796,0.50408,0.49311,0.1928,2.11474,4.42333,0.01239,4.18146e-05,4.18146e-05,4.18146e-05
82,721.168,2.0052,4.06377,0.0105,0.48514,0.50028,0.4842,0.18882,2.12507,4.48829,0.01256,3.8238e-05,3.8238e-05,3.8238e-05
83,730.092,2.0373,4.02832,0.01002,0.48044,0.50541,0.47968,0.18546,2.15473,4.57726,0.01287,3.48231e-05,3.48231e-05,3.48231e-05
84,739.126,1.98514,4.10471,0.01055,0.48596,0.50029,0.47233,0.17816,2.17526,4.68506,0.01308,3.15731e-05,3.15731e-05,3.15731e-05
85,747.512,2.01471,4.17438,0.01052,0.5003,0.48809,0.46962,0.17845,2.17702,4.69778,0.01306,2.84913e-05,2.84913e-05,2.84913e-05
86,757.331,2.0391,4.11063,0.01048,0.50863,0.47293,0.47247,0.18036,2.17563,4.68827,0.01304,2.55807e-05,2.55807e-05,2.55807e-05
87,766.491,2.00213,4.04807,0.01027,0.50888,0.48443,0.47472,0.18335,2.1655,4.63433,0.01295,2.28442e-05,2.28442e-05,2.28442e-05
88,774.745,2.00938,4.13026,0.0108,0.49874,0.49414,0.47615,0.18365,2.15871,4.56808,0.01286,2.02846e-05,2.02846e-05,2.02846e-05
89,783.628,2.01338,4.12965,0.01041,0.48113,0.49015,0.47693,0.18526,2.15739,4.55546,0.01284,1.79043e-05,1.79043e-05,1.79043e-05
90,792.689,2.0218,4.24821,0.01044,0.47694,0.49926,0.47875,0.18635,2.14534,4.55061,0.01276,1.57056e-05,1.57056e-05,1.57056e-05
91,803.099,1.99101,3.98937,0.01176,0.48,0.50076,0.47813,0.18489,2.13408,4.59946,0.01267,1.36908e-05,1.36908e-05,1.36908e-05
92,811.988,1.99386,3.96975,0.01131,0.46598,0.49171,0.47092,0.18045,2.14048,4.6249,0.01275,1.18619e-05,1.18619e-05,1.18619e-05
93,820.836,2.00793,3.89071,0.01142,0.46318,0.49816,0.46882,0.17842,2.14508,4.68899,0.01281,1.02205e-05,1.02205e-05,1.02205e-05
94,829.319,2.00644,3.90454,0.0115,0.46406,0.48706,0.46598,0.17734,2.14583,4.7251,0.01283,8.76848e-06,8.76848e-06,8.76848e-06
95,838.099,2.0093,3.7398,0.01128,0.46376,0.48011,0.46434,0.17621,2.1539,4.77574,0.01294,7.50712e-06,7.50712e-06,7.50712e-06
96,846.85,1.99424,3.92992,0.01145,0.46665,0.47459,0.46208,0.17511,2.1539,4.77596,0.01293,6.43771e-06,6.43771e-06,6.43771e-06
97,854.904,1.99178,3.91988,0.01174,0.45901,0.48831,0.46349,0.17584,2.15121,4.75626,0.0129,5.56129e-06,5.56129e-06,5.56129e-06
98,863.572,1.99822,3.85767,0.01137,0.4694,0.47914,0.46331,0.1768,2.15061,4.76906,0.01289,4.87873e-06,4.87873e-06,4.87873e-06
99,872.274,2.00513,3.91708,0.01184,0.47076,0.48158,0.46814,0.1787,2.14331,4.73871,0.01282,4.39071e-06,4.39071e-06,4.39071e-06
100,881.021,1.97874,3.91154,0.01149,0.4727,0.4885,0.46839,0.1783,2.14686,4.69542,0.01283,4.0977e-06,4.0977e-06,4.0977e-06
